职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接,市,关键字,最低工资,最高工资
生产数据管理员,5千-6千,临海市,经验不限,本科,生产统计、车间统计、数据统计分析,浙江伟星新型建材股份有限公司,http://jobs.zhaopin.com/CC190544810J40380168916.htm?refcode=4019&srccode=401901&preactionid=6f7a93bb-103e-4c77-a0ef-4f53806aa237,台州,数据分析,5000.0,6000.0
销售内务主管/经理,9千-1.3万,温岭市,3-5年,本科,,绿城管理集团,http://jobs.zhaopin.com/CC542265420J40517006409.htm?refcode=4019&srccode=401901&preactionid=6f7a93bb-103e-4c77-a0ef-4f53806aa237,台州,数据分析,9000.0,13000.0
物流经营分析,1.3万-1.5万,临海市,3-5年,大专,,壹米滴答供应链集团有限公司,http://jobs.zhaopin.com/CC290569130J40515780009.htm?refcode=4019&srccode=401901&preactionid=6f7a93bb-103e-4c77-a0ef-4f53806aa237,台州,数据分析,13000.0,15000.0
标准化工程师,1万-2万,玉环市,5-10年,本科,标准化、标准体系、数据分析,迈得医疗工业设备股份有限公司,http://jobs.zhaopin.com/CC546871520J40210314807.htm?refcode=4019&srccode=401901&preactionid=6f7a93bb-103e-4c77-a0ef-4f53806aa237,台州,数据分析,10000.0,20000.0
运营经理/销售管理/连锁店运营,1.1万-1.8万,临海市,3-5年,大专,运营管理、市场营销、加盟管理、巡店管理、门店管理、业务培训、人员管理、岗位培训、数据分析、市场信息收集,浙江未来万家五金机电有限公司,http://jobs.zhaopin.com/CC443980210J40546142512.htm?refcode=4019&srccode=401901&preactionid=6f7a93bb-103e-4c77-a0ef-4f53806aa237,台州,数据分析,11000.0,18000.0
物流经营分析,1.1万-1.5万,临海市,1-3年,大专,公路运输、干线货运,壹米滴答供应链集团有限公司,http://jobs.zhaopin.com/CC290569130J40515799909.htm?refcode=4019&srccode=401901&preactionid=6f7a93bb-103e-4c77-a0ef-4f53806aa237,台州,数据分析,11000.0,15000.0
市场调研评估员/市场调查员-浙江天台县,0.3千-0.5千元/月,椒江区,经验不限,大专,市场调研、兼职、神秘顾客,上海信天翁联业商务咨询有限公司,http://jobs.zhaopin.com/CC141184720J40483016816.htm?refcode=4019&srccode=401901&preactionid=6f7a93bb-103e-4c77-a0ef-4f53806aa237,台州,数据分析,300.0,500.0
带包高级理财经理,1.9万-3.5万,临海市,1-3年,本科,证券从业资格证、基金从业资格证、金融业、证券投资咨询资格证、股票市场、债券市场、基金市场、期货市场,方正证券股份有限公司,http://jobs.zhaopin.com/CC157108810J40337357604.htm?refcode=4019&srccode=401901&preactionid=6f7a93bb-103e-4c77-a0ef-4f53806aa237,台州,数据分析,19000.0,35000.0
市场调研评估员/市场调查员-浙江省台州市临海市东方大道1号银泰城,300-600元/天,临海市,经验不限,高中,市场调研、兼职、神秘顾客,上海信天翁联业商务咨询有限公司,http://jobs.zhaopin.com/CC141184720J40483018616.htm?refcode=4019&srccode=401901&preactionid=6f7a93bb-103e-4c77-a0ef-4f53806aa237,台州,数据分析,6525.0,13050.0
市场调研评估员/市场调查员-浙江台州,300-500元/天,黄岩区,经验不限,大专,市场调研、神秘顾客、兼职,上海信天翁联业商务咨询有限公司,http://jobs.zhaopin.com/CC141184720J40482809316.htm?refcode=4019&srccode=401901&preactionid=6f7a93bb-103e-4c77-a0ef-4f53806aa237,台州,数据分析,6525.0,10875.0
数据采集,3千-5千,台州,经验不限,高中,,湖北明和规划设计有限公司,http://jobs.zhaopin.com/CCL1476640540J40488941616.htm?refcode=4019&srccode=401901&preactionid=5233c3c0-de03-4256-8e8f-36660af73320,台州,数据挖掘,3000.0,5000.0
Python开发工程师（台州）,8千-1.2万,椒江区,1-3年,本科,,清鹤科技,http://jobs.zhaopin.com/CC192343020J40512050307.htm?refcode=4019&srccode=401901&preactionid=5233c3c0-de03-4256-8e8f-36660af73320,台州,数据挖掘,8000.0,12000.0
物流经营分析,1.1万-1.5万,临海市,1-3年,大专,公路运输、干线货运,壹米滴答供应链集团有限公司,http://jobs.zhaopin.com/CC290569130J40515799909.htm?refcode=4019&srccode=401901&preactionid=5233c3c0-de03-4256-8e8f-36660af73320,台州,数据挖掘,11000.0,15000.0
DFM分析,6千-1.2万,黄岩区,3-5年,初中及以下,,西诺控股集团有限公司,http://jobs.zhaopin.com/CC342772410J40486518004.htm?refcode=4019&srccode=401901&preactionid=5233c3c0-de03-4256-8e8f-36660af73320,台州,数据挖掘,6000.0,12000.0
数据分析岗,5千-7千,椒江区,1-3年,本科,,中国太平洋财产保险股份有限公司台州中心支公司,http://jobs.zhaopin.com/CC244385710J40526075201.htm?refcode=4019&srccode=401901&preactionid=5233c3c0-de03-4256-8e8f-36660af73320,台州,数据挖掘,5000.0,7000.0
物流经营分析,1.3万-1.5万,临海市,3-5年,大专,,壹米滴答供应链集团有限公司,http://jobs.zhaopin.com/CC290569130J40515780009.htm?refcode=4019&srccode=401901&preactionid=5233c3c0-de03-4256-8e8f-36660af73320,台州,数据挖掘,13000.0,15000.0
数据分析师,5千-9千,临海市,经验不限,本科,Python、SQL、SPSS,伟星股份,http://jobs.zhaopin.com/CC173330310J40410264902.htm?refcode=4019&srccode=401901&preactionid=5233c3c0-de03-4256-8e8f-36660af73320,台州,数据挖掘,5000.0,9000.0
数据分析师,1.2万-1.5万,椒江区,1-3年,本科,数据分析、数据采集、行业分析、数据建模、大数据分析、数据挖掘、商业数据分析、销售数据分析,浙江普道科技信息服务有限公司,http://jobs.zhaopin.com/CC867077900J40380091205.htm?refcode=4019&srccode=401901&preactionid=5233c3c0-de03-4256-8e8f-36660af73320,台州,数据挖掘,12000.0,15000.0
数据分析师（杭州）,面议,椒江区,3-5年,本科,Python、机器学习、深度学习、神经网络,台州银行,http://jobs.zhaopin.com/CC148712360J40501974308.htm?refcode=4019&srccode=401901&preactionid=5233c3c0-de03-4256-8e8f-36660af73320,台州,数据挖掘,12919.836258254378,20824.214667671546
图像算法实习生,150-250/天,温岭市,经验不限,本科,图像处理、图像检测识别、OpenCV、视觉图像算法、工业视觉检测、C++,温岭镭昊光电有限公司,http://jobs.zhaopin.com/CCL1271678690J40553200514.htm?refcode=4019&srccode=401901&preactionid=079188ec-c486-4f37-ae76-c78ac318ca19,台州,算法,3262.5,5437.5
单片机软件工程师,7千-1.4万,温岭市,经验不限,大专,,台州市菱士达电器有限公司,http://jobs.zhaopin.com/CC317345310J40194739101.htm?refcode=4019&srccode=401901&preactionid=079188ec-c486-4f37-ae76-c78ac318ca19,台州,算法,7000.0,14000.0
算法工程师,8千-1.4万,温岭市,1-3年,本科,机器人、传感器、C++、MATLAB,浙江钱江机器人公司,http://jobs.zhaopin.com/CC208527030J40247830915.htm?refcode=4019&srccode=401901&preactionid=079188ec-c486-4f37-ae76-c78ac318ca19,台州,算法,8000.0,14000.0
嵌入软件开发工程师,1万-2万,台州,1-3年,硕士,C语言、C++、驱动开发、PCB设计、物联网、嵌入式软件开发、电路设计、单片机开发,浙江天翀车灯集团有限公司,http://jobs.zhaopin.com/CC148747490J40286184311.htm?refcode=4019&srccode=401901&preactionid=079188ec-c486-4f37-ae76-c78ac318ca19,台州,算法,10000.0,20000.0
嵌入式软件工程师,8千-1.6万 · 13薪,椒江区,1-3年,大专,32位单片机、PIC单片机,台州兆普机电有限公司,http://jobs.zhaopin.com/CCL1398514020J40500455102.htm?refcode=4019&srccode=401901&preactionid=079188ec-c486-4f37-ae76-c78ac318ca19,台州,算法,8666.666666666666,17333.333333333332
嵌入式软件工程师,2.5万-3.5万,温岭市,3-5年,本科,,宁波起点人力资源开发有限公司,http://jobs.zhaopin.com/CCL1324489890J40521888009.htm?refcode=4019&srccode=401901&preactionid=079188ec-c486-4f37-ae76-c78ac318ca19,台州,算法,25000.0,35000.0
嵌入式软件工程师,6千-1.2万,温岭市,经验不限,大专,32位单片机、8位单片机、DSP,浙江颐顿机电有限公司,http://jobs.zhaopin.com/CC473826410J40486478702.htm?refcode=4019&srccode=401901&preactionid=079188ec-c486-4f37-ae76-c78ac318ca19,台州,算法,6000.0,12000.0
嵌入式软件工程师,8千-1.6万,台州,1-3年,本科,嵌入式软件开发、电路设计、C语言、单片机开发,浙江高宇液压机电有限公司,http://jobs.zhaopin.com/CC587732730J40304674904.htm?refcode=4019&srccode=401901&preactionid=079188ec-c486-4f37-ae76-c78ac318ca19,台州,算法,8000.0,16000.0
视觉技术员,6千-8千 · 13薪,台州,1年以下,本科,Halcon、缺陷检测、图像处理、视觉检测,迈得医疗工业设备股份有限公司,http://jobs.zhaopin.com/CC546871520J40296248007.htm?refcode=4019&srccode=401901&preactionid=079188ec-c486-4f37-ae76-c78ac318ca19,台州,算法,6500.0,8666.666666666666
机器视觉工程师（halcon）,9千-1.8万 · 13薪,天台县,1-3年,本科,机器视觉、3d视觉、图像处理、Halcon、线激光,浙江银轮智能装备有限公司,http://jobs.zhaopin.com/CC464187880J40373857211.htm?refcode=4019&srccode=401901&preactionid=079188ec-c486-4f37-ae76-c78ac318ca19,台州,算法,9750.0,19500.0
视觉工程师,1.5万-3万,玉环市,3-5年,本科,C++、Halcon、机器视觉、缺陷检测、视觉检测、图像处理、相机镜头,迈得医疗工业设备股份有限公司,http://jobs.zhaopin.com/CC546871520J40210258907.htm?refcode=4019&srccode=401901&preactionid=079188ec-c486-4f37-ae76-c78ac318ca19,台州,算法,15000.0,30000.0
视觉助理工程师,8千-1.2万 · 13薪,台州,1年以下,硕士,视觉检测、Halcon、机器视觉、缺陷检测、C#、图像处理、双目视觉,迈得医疗工业设备股份有限公司,http://jobs.zhaopin.com/CC546871520J40296249607.htm?refcode=4019&srccode=401901&preactionid=079188ec-c486-4f37-ae76-c78ac318ca19,台州,算法,8666.666666666666,13000.0
Python开发工程师,1.3万-2万 · 13薪,桐乡市,1-3年,本科,Python,浙江巨能环境工程有限公司,http://jobs.zhaopin.com/CC577369420J40283318109.htm?refcode=4019&srccode=401901&preactionid=bc35cbde-4cfb-451b-ad38-88cdfacc1092,嘉兴,python,14083.333333333332,21666.666666666668
统计分析员实习生（SA Intern）-漯河（2024校招）,110-150/天,南湖区,经验不限,本科,SAS、Eviews、多元统计分析、因子分析、主成份分析、回归算法、方差分析、R语言、Python、SPSS、聚类算法,泰格医药,http://jobs.zhaopin.com/CC245090110J40474154602.htm?refcode=4019&srccode=401901&preactionid=bc35cbde-4cfb-451b-ad38-88cdfacc1092,嘉兴,python,2392.5,3262.5
ETL工程师（嘉兴）,1万-1.8万,南湖区,3-5年,本科,DataStage、Informatica、SQL、Shell、数据开发、数据清洗、报表开发、Oracle,先进数通,http://jobs.zhaopin.com/CC000432190J40432496816.htm?refcode=4019&srccode=401901&preactionid=bc35cbde-4cfb-451b-ad38-88cdfacc1092,嘉兴,python,10000.0,18000.0
Python开发工程师（嘉兴）,6千-1.2万 · 14薪,南湖区,1-3年,本科,Python、Django、数据库、MySQL,浙江和达科技股份有限公司,http://jobs.zhaopin.com/CC255098130J40152596610.htm?refcode=4019&srccode=401901&preactionid=bc35cbde-4cfb-451b-ad38-88cdfacc1092,嘉兴,python,7000.0,14000.0
软件测试实习生（24届）,120元/天,南湖区,经验不限,本科,Python、Java、自动化测试,嘉赛信息,http://jobs.zhaopin.com/CC491684020J40443070404.htm?refcode=4019&srccode=401901&preactionid=bc35cbde-4cfb-451b-ad38-88cdfacc1092,嘉兴,python,2610.0,2610.0
图像算法工程师,2.2万-4万 · 15薪,南湖区,3-5年,硕士,PyTorch、图像处理、图像检测识别、人脸识别、视觉图像算法、自动驾驶、Python,嘉兴真与科技有限责任公司,http://jobs.zhaopin.com/CCL1388980520J40396282704.htm?refcode=4019&srccode=401901&preactionid=bc35cbde-4cfb-451b-ad38-88cdfacc1092,嘉兴,python,27500.0,50000.0
BI Specialist/BI工程师,8千-1.5万,秀洲区,1-3年,本科,数据可视化、数据治理、数据挖掘、报表开发、Power BI、QuickBI、数据仓库、SQL,德沃康科技集团有限公司,http://jobs.zhaopin.com/CC426410710J40446813210.htm?refcode=4019&srccode=401901&preactionid=bc35cbde-4cfb-451b-ad38-88cdfacc1092,嘉兴,python,8000.0,15000.0
大数据可视化研发工程师,6千-1.2万 · 13薪,秀洲区,经验不限,本科,Canvas、WebGL、Echarts、Three.js、MXGRAPH、ElementUI、Bootstrap、Vue,嘉兴市翼马科技有限公司,http://jobs.zhaopin.com/CCL1359645130J40202109013.htm?refcode=4019&srccode=401901&preactionid=bc35cbde-4cfb-451b-ad38-88cdfacc1092,嘉兴,python,6500.0,13000.0
图像算法工程师（工作地点：浙江嘉兴）,2.2万-4万 · 15薪,南湖区,3-5年,硕士,Python、图像处理、图像检测识别、人脸识别产品、视觉图像算法、自动驾驶,嘉兴真与科技有限责任公司,http://jobs.zhaopin.com/CCL1388980520J40483481504.htm?refcode=4019&srccode=401901&preactionid=bc35cbde-4cfb-451b-ad38-88cdfacc1092,嘉兴,python,27500.0,50000.0
软件工程师,7千-1.4万,秀洲区,经验不限,中专/中技,自动控制、算法、C#、电路、数字电路、Python、嵌入式、驱动开发,嘉兴微拓电子科技股份有限公司,http://jobs.zhaopin.com/CCL1242316090J40443098112.htm?refcode=4019&srccode=401901&preactionid=bc35cbde-4cfb-451b-ad38-88cdfacc1092,嘉兴,python,7000.0,14000.0
对日开发初级技术员到项目经,2.5万-5万,南湖区,1-3年,本科,.NET、C#、Java、Python、小程序开发、SQL,株式会社ProfaceSystems,http://jobs.zhaopin.com/CC579165780J40377974613.htm?refcode=4019&srccode=401901&preactionid=bc35cbde-4cfb-451b-ad38-88cdfacc1092,嘉兴,python,25000.0,50000.0
C#软件工程师,150-200/天,秀洲区,经验不限,学历不限,软件工程师、C++、Python,嘉兴遇见未来人工智能科技有限公司,http://jobs.zhaopin.com/CCL1463114400J40498821510.htm?refcode=4019&srccode=401901&preactionid=bc35cbde-4cfb-451b-ad38-88cdfacc1092,嘉兴,python,3262.5,4350.0
GIS开发工程师（C++）,8千-1.5万 · 14薪,南湖区,3-5年,大专,ArcGlS、QGIs,浙江和达科技股份有限公司,http://jobs.zhaopin.com/CC255098130J40514843510.htm?refcode=4019&srccode=401901&preactionid=bc35cbde-4cfb-451b-ad38-88cdfacc1092,嘉兴,python,9333.333333333332,17500.0
软件工程师(J10067),1.5万-1.8万,南湖区,1-3年,硕士,C++、C、Python、Java、QT开发、Linux开发,中国电子科技集团公司第三十六研究所,http://jobs.zhaopin.com/CC143214042J00481922805.htm?refcode=4019&srccode=401901&preactionid=bc35cbde-4cfb-451b-ad38-88cdfacc1092,嘉兴,python,15000.0,18000.0
技术经理,3万-5万 · 14薪,嘉兴,5-10年,本科,Python、全栈开发,浙江巨能环境工程有限公司,http://jobs.zhaopin.com/CC577369420J40334671909.htm?refcode=4019&srccode=401901&preactionid=bc35cbde-4cfb-451b-ad38-88cdfacc1092,嘉兴,python,35000.0,58333.333333333336
系统架构师,1.8万-2.6万,秀洲区,3-5年,本科,Java、Python、SQL、微服务架构、算法基础、数据结构、Vue、SpringBoot、Spring,上海缔梧文化传媒有限公司,http://jobs.zhaopin.com/CC701944180J40521149308.htm?refcode=4019&srccode=401901&preactionid=bc35cbde-4cfb-451b-ad38-88cdfacc1092,嘉兴,python,18000.0,26000.0
系统架构师,1.4万-2.5万 · 14薪,秀洲区,3-5年,本科,平台架构、Oracle、MySQL,上海成美顺通信息科技有限公司,http://jobs.zhaopin.com/CCL1348858480J40515550110.htm?refcode=4019&srccode=401901&preactionid=bc35cbde-4cfb-451b-ad38-88cdfacc1092,嘉兴,python,16333.333333333334,29166.666666666668
软件工程师 (E03-04),2万-3.5万,嘉善县,3-5年,本科,C++、Python、Java、MFC、OpenGL,砺铸智能设备(天津)有限公司,http://jobs.zhaopin.com/CC832571160J40429436811.htm?refcode=4019&srccode=401901&preactionid=bc35cbde-4cfb-451b-ad38-88cdfacc1092,嘉兴,python,20000.0,35000.0
数据运维开发工程师,1万-1.2万,南湖区,1-3年,本科,数据库运维、系统运维、C++、Python、Ansible,浙江东江汽车控股集团有限公司,http://jobs.zhaopin.com/CC566257180J40542646001.htm?refcode=4019&srccode=401901&preactionid=bc35cbde-4cfb-451b-ad38-88cdfacc1092,嘉兴,python,10000.0,12000.0
AI算法工程师(J13082),2万-3万,秀洲区,3-5年,本科,Python、Java、Hadoop、Spark、hive、Flink,浙江天正电气股份有限公司,http://jobs.zhaopin.com/CC178939210J40487326711.htm?refcode=4019&srccode=401901&preactionid=bc35cbde-4cfb-451b-ad38-88cdfacc1092,嘉兴,python,20000.0,30000.0
软件开发设计师(J10394),1万-1.5万,嘉兴,1-3年,硕士,Java、Python,中国电子科技集团公司第三十六研究所,http://jobs.zhaopin.com/CC143214040J40054291914.htm?refcode=4019&srccode=401901&preactionid=bc35cbde-4cfb-451b-ad38-88cdfacc1092,嘉兴,python,10000.0,15000.0
软件工程师,5千-1万,秀洲区,经验不限,本科,C++、C#、Python、深度学习算法、视觉图像算法,嘉兴市敏硕智能科技有限公司,http://jobs.zhaopin.com/CCL1300998240J40274940006.htm?refcode=4019&srccode=401901&preactionid=bc35cbde-4cfb-451b-ad38-88cdfacc1092,嘉兴,python,5000.0,10000.0
C#软件工程师,8千-9千,嘉兴,1-3年,本科,C#、C++、Python、Winform、.NET框架、多线程、.NET Framework,嘉兴遇见未来人工智能科技有限公司,http://jobs.zhaopin.com/CCL1463114400J40498818110.htm?refcode=4019&srccode=401901&preactionid=bc35cbde-4cfb-451b-ad38-88cdfacc1092,嘉兴,python,8000.0,9000.0
系统测试工程师,8千-1.2万 · 14薪,嘉兴,3-5年,本科,Python,浙江赛思电子科技有限公司,http://jobs.zhaopin.com/CC565929420J40515725109.htm?refcode=4019&srccode=401901&preactionid=bc35cbde-4cfb-451b-ad38-88cdfacc1092,嘉兴,python,9333.333333333332,14000.0
电子开发部主管,9千-1.6万,嘉善县,5-10年,大专,C语言、全栈开发、Python,凯士电子(浙江)有限公司,http://jobs.zhaopin.com/CC582112320J40469274816.htm?refcode=4019&srccode=401901&preactionid=bc35cbde-4cfb-451b-ad38-88cdfacc1092,嘉兴,python,9000.0,16000.0
